"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","25.93","25.93","25.93","25.93","1.30K","-0.23%"
"Aug 30, 2018","25.99","26.18","26.32","25.99","7.30K","-1.48%"
"Aug 29, 2018","26.38","26.41","26.67","26.19","9.03K","0.84%"
"Aug 28, 2018","26.16","25.90","26.54","25.90","5.25K","1.00%"
"Aug 27, 2018","25.90","25.68","25.90","25.14","6.25K","1.17%"
"Aug 24, 2018","25.60","25.93","26.09","25.60","2.57K","0.04%"
"Aug 23, 2018","25.59","25.37","25.60","25.25","2.47K","0.12%"
"Aug 22, 2018","25.56","25.56","25.56","25.56","0.21K","-2.22%"
"Aug 21, 2018","26.14","25.71","26.34","25.71","3.87K","2.39%"
"Aug 20, 2018","25.53","25.62","25.73","25.50","3.69K","-2.67%"
"Aug 16, 2018","26.23","26.23","26.23","26.23","-","-1.47%"
"Aug 15, 2018","26.62","26.62","26.62","26.62","0.10K","2.66%"
"Aug 14, 2018","25.93","25.93","25.93","25.93","0.50K","-0.69%"
"Aug 13, 2018","26.11","26.23","26.53","26.11","0.30K","-2.68%"
"Aug 10, 2018","26.83","26.83","26.83","26.83","0.28K","-3.21%"
"Aug 09, 2018","27.72","27.42","27.72","27.42","0.40K","-0.75%"
"Aug 07, 2018","27.93","27.93","27.93","27.93","0.40K","1.86%"
"Aug 06, 2018","27.42","27.42","27.42","27.42","0.10K","0.00%"
"Aug 03, 2018","27.42","27.47","27.49","27.42","0.66K","-0.40%"
"Aug 02, 2018","27.53","27.53","27.69","27.53","8.97K","-2.51%"
"Aug 01, 2018","28.24","28.34","28.50","28.24","0.51K","0.68%"
"Jul 31, 2018","28.05","28.05","28.05","28.05","0.16K","-0.46%"
"Jul 30, 2018","28.18","27.85","28.18","27.85","0.61K","1.33%"
"Jul 26, 2018","27.81","27.81","27.81","27.81","0.25K","-0.07%"
"Jul 25, 2018","27.83","27.83","27.83","27.83","0.10K","-1.28%"
"Jul 24, 2018","28.19","27.50","28.20","27.50","1.45K","2.36%"
"Jul 23, 2018","27.54","26.73","27.54","26.73","1.27K","5.56%"
