"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","1.7810","1.7761","1.7884","1.7671","-","1.96%"
"Aug 30, 2018","1.7467","1.7835","1.7843","1.7304","-","-1.25%"
"Aug 29, 2018","1.7688","1.7345","1.7786","1.7329","-","3.54%"
"Aug 28, 2018","1.7084","1.7206","1.7271","1.7043","-","0.15%"
"Aug 27, 2018","1.7059","1.7288","1.7402","1.7035","-","-2.61%"
"Aug 24, 2018","1.7516","1.7541","1.7671","1.7475","-","-0.97%"
"Aug 23, 2018","1.7688","1.7745","1.7875","1.7492","-","-0.64%"
"Aug 22, 2018","1.7802","1.7696","1.8039","1.7639","-","-0.46%"
"Aug 21, 2018","1.7884","1.8169","1.8169","1.7843","-","-2.62%"
"Aug 20, 2018","1.8365","1.8700","1.8741","1.8292","-","-2.97%"
"Aug 17, 2018","1.8928","1.8724","1.9026","1.8659","-","3.16%"
"Aug 16, 2018","1.8349","1.8226","1.8520","1.8210","-","1.86%"
"Aug 15, 2018","1.8014","1.8145","1.8259","1.7924","-","-1.69%"
"Aug 14, 2018","1.8324","1.8243","1.8324","1.8039","-","1.40%"
"Aug 13, 2018","1.8071","1.8292","1.8373","1.8031","-","-2.81%"
"Aug 10, 2018","1.8594","1.9132","1.9434","1.8561","-","-2.90%"
"Aug 09, 2018","1.9149","1.9059","1.9328","1.9010","-","-16.46%"
"Aug 08, 2018","2.2923","2.3010","2.3224","2.2729","-","0.21%"
"Aug 07, 2018","2.2875","2.3514","2.3524","2.2768","-","-1.21%"
"Aug 06, 2018","2.3156","2.2569","2.3217","2.2569","-","3.09%"
"Aug 03, 2018","2.2463","2.2651","2.2790","2.2374","-","-0.64%"
"Aug 02, 2018","2.2607","2.2851","2.3875","2.2574","-","0.48%"
"Aug 01, 2018","2.2499","2.2459","2.2812","2.2429","-","0.81%"
"Jul 31, 2018","2.2318","2.2076","2.2771","2.1955","-","1.33%"
"Jul 30, 2018","2.2026","2.1744","2.2227","2.1683","-","3.02%"
"Jul 27, 2018","2.1381","2.1492","2.1663","2.1190","-","-1.12%"
"Jul 26, 2018","2.1623","2.2167","2.2308","2.1462","-","-1.15%"
"Jul 25, 2018","2.1875","2.1099","2.1975","2.1008","-","6.37%"
"Jul 24, 2018","2.0565","2.0474","2.0797","2.0363","-","-0.68%"
"Jul 23, 2018","2.0706","2.0827","2.1048","2.0676","-","-0.44%"
"Jul 20, 2018","2.0797","2.0484","2.0948","2.0414","-","2.33%"
"Jul 19, 2018","2.0323","1.9870","2.0383","1.9829","-","1.97%"
"Jul 18, 2018","1.9930","2.0273","2.0273","1.9930","-","-0.65%"
"Jul 17, 2018","2.0061","1.9930","2.0323","1.9880","-","1.89%"
"Jul 16, 2018","1.9688","1.9860","2.0081","1.9628","-","-1.71%"
"Jul 13, 2018","2.0031","1.9628","2.0051","1.9416","-","2.58%"
"Jul 12, 2018","1.9527","1.9154","1.9678","1.9064","-","2.70%"
"Jul 11, 2018","1.9013","1.9527","1.9749","1.8993","-","3.69%"
"Jul 10, 2018","1.8336","1.8606","1.8746","1.8187","-","-3.15%"
"Jul 09, 2018","1.8932","1.8942","1.9044","1.8793","-","-1.41%"
"Jul 06, 2018","1.9203","1.8755","1.9221","1.8644","-","1.93%"
"Jul 05, 2018","1.8839","1.8299","1.8942","1.8299","-","2.95%"
"Jul 03, 2018","1.8299","1.8271","1.8373","1.8159","-","2.24%"
"Jul 02, 2018","1.7898","1.8839","1.8942","1.7880","-","-4.19%"
"Jun 29, 2018","1.8681","1.8206","1.8970","1.8150","-","3.67%"
"Jun 28, 2018","1.8019","1.8206","1.8355","1.8001","-","-1.03%"
"Jun 27, 2018","1.8206","1.8187","1.8327","1.8131","-","1.14%"
"Jun 26, 2018","1.8001","1.8271","1.8476","1.7898","-","-1.53%"
"Jun 25, 2018","1.8280","1.8392","1.8485","1.8159","-","-2.73%"
"Jun 22, 2018","1.8793","1.8802","1.8895","1.8578","-","-0.49%"
"Jun 21, 2018","1.8886","1.8541","1.9007","1.8541","-","1.50%"
"Jun 20, 2018","1.8606","1.8448","1.8662","1.8140","-","1.99%"
"Jun 19, 2018","1.8243","1.8317","1.8476","1.7898","-","-2.39%"
"Jun 18, 2018","1.8690","1.8876","1.8942","1.8662","-","-2.34%"
"Jun 15, 2018","1.9137","1.9053","1.9519","1.8755","-","-0.73%"
"Jun 14, 2018","1.9277","1.9585","1.9640","1.9193","-","-2.91%"
"Jun 13, 2018","1.9855","2.0172","2.0255","1.9790","-","-3.14%"
"Jun 12, 2018","2.0498","1.9817","2.0628","1.9790","-","3.63%"
